id,name,architect,year,lat,lng,address,city,country,description,visitDuration,category
savoie,Villa Savoye,Le Corbusier,1931,48.9076,2.0432,"82 Rue de Villiers, 78300 Poissy, France",Poissy,France,An iconic masterpiece of modernist architecture.,60,Residential
notre_dame_du_haut,Notre Dame du Haut,Le Corbusier,1955,47.70455,6.6214,"13 Rue de la Chapelle, 70250 Ronchamp, France",Ronchamp,France,A sculptural chapel representing Corbusier's late style.,30,Religious
unite_d_habitation,Unité d'Habitation,Le Corbusier,1952,43.2558,5.3959,"280 Boulevard Michelet, 13008 Marseille, France",Marseille,France,Prototype of Corbusier's 'vertical garden city' concept.,60,Residential
la_roche_house,Maison La Roche,Le Corbusier,1925,48.8526,2.2716,"10 Square du Dr Blanche, 75016 Paris, France",Paris,France,Early purist villa displaying Corbusier's Five Points of Architecture.,45,Residential
maison_curutchet,Maison Curutchet,Le Corbusier,1955,-34.9201,-57.9401,"53 Av. 53, B1900 La Plata, Argentina",La Plata,Argentina,"Only Le Corbusier project in South America, integrating modernism with existing trees.",45,Residential
palace_of_assembly,Palace of Assembly,Le Corbusier,1963,30.752,76.8047,"Capitol Complex, Sector 1, Chandigarh, India",Chandigarh,India,Key building of Chandigarh Capitol Complex with bold forms and brise-soleil.,60,Government
carpenter_center,Carpenter Center for Visual Arts,Le Corbusier,1963,42.373,-71.1149,"24 Quincy St, Cambridge, MA 02138, United States",Cambridge,USA,"Le Corbusier's only North American building, featuring a prominent ramp.",45,Educational
saint_pierre_church,Church of Saint-Pierre,Le Corbusier,2006,45.3898,4.2869,"Boulevard Périphérique, 42700 Firminy, France",Firminy,France,Posthumously completed concrete church with dramatic skylights.,30,Religious
pavillon_suisse,Swiss Pavilion,Le Corbusier,1933,48.8205,2.3372,"Cité Internationale Universitaire de Paris, Paris, France",Paris,France,Student residence showcasing Corbusier's modular design.,30,Residential
mill_owners_building,Mill Owners' Association Building,Le Corbusier,1954,23.0225,72.5714,"Ashram Rd, Ahmedabad, India",Ahmedabad,India,Modernist headquarters with bold brise-soleil façades.,45,Office
fallingwater,Fallingwater,Frank Lloyd Wright,1939,39.9067,-79.4673,"1491 Mill Run Rd, Mill Run, PA 15464, United States",Mill Run,USA,"Perhaps Wright's most famous work, built partly over a waterfall.",90,Residential
guggenheim_museum,Solomon R. Guggenheim Museum,Frank Lloyd Wright,1959,40.783,-73.959,"1071 5th Ave, New York, NY 10128, United States",New York,USA,Iconic spiral museum challenging traditional gallery layout.,90,Cultural
taliesin_west,Taliesin West,Frank Lloyd Wright,1937,33.6064,-111.8383,"12621 N Frank Lloyd Wright Blvd, Scottsdale, AZ 85259, United States",Scottsdale,USA,Wright's desert laboratory and winter home.,60,Residential
robie_house,Frederick C. Robie House,Frank Lloyd Wright,1910,41.7897,-87.5946,"5757 S Woodlawn Ave, Chicago, IL 60637, United States",Chicago,USA,Prairie School masterpiece emphasizing horizontal lines.,45,Residential
unity_temple,Unity Temple,Frank Lloyd Wright,1908,41.8887,-87.8,"875 Lake St, Oak Park, IL 60301, United States",Oak Park,USA,Early reinforced concrete church noted for its unity of space.,60,Religious
